中央频道,#genre#
東森購物3,https://www.youtube.com/watch?v=_Vlzn9qAHD4
MOMO購物1,https://www.youtube.com/watch?v=_pZQ1Lk0xMA
MOMO購物2,https://www.youtube.com/watch?v=xbNWkUyxQGM
國會頻道１,https://www.youtube.com/watch?v=4HysYHJ6GkY
國會頻道2,https://www.youtube.com/watch?v=RAP4h3q6_Sg
台灣地震監視,https://www.youtube.com/watch?v=Owke6Quk7T0
中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
三立新聞,https://www.youtube.com/watch?v=FoBfXvlOR6I
三立+,https://www.youtube.com/watch?v=oZdzzvxTfUY
DW德國之聲,https://www.youtube.com/watch?v=pqabxBKzZ6M
TRTWORLD,https://www.youtube.com/watch?v=5VF4aor94gw
Bloomberg Financial,https://www.youtube.com/watch?v=dp8PhLsUcFE
Al Jazeera,https://www.youtube.com/watch?v=gCNeDWCI0vo
Bloomberg Quicktake,https://www.youtube.com/watch?v=DxmDPrfinXY
Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
United Nations,https://www.youtube.com/watch?v=wfAa1GiNdgM
CANAL 24,https://www.youtube.com/watch?v=8GmR9H2iH8Q
Channels,https://www.youtube.com/watch?v=dfB0qmJo1eM
TaiwanPlus,https://www.youtube.com/watch?v=dZp87qnWelE
NASA TV,https://www.youtube.com/watch?v=21X5lGlDOfg
NASA Live,https://www.youtube.com/watch?v=nA9UZF-SZoQ
動物世界,https://www.youtube.com/watch?v=vQP8AwAFzI8
Leigha Marina,https://www.youtube.com/watch?v=qQkDk7UiwrA
桃九郎Z,https://www.youtube.com/watch?v=gj6y5e1BCMA
Spidey,https://www.youtube.com/watch?v=OrM6wUdP6Mo
Bluey,https://www.youtube.com/watch?v=iIg9gI_AZwM
Disney Junior,https://www.youtube.com/watch?v=Dkkp4KfdGPY
Hits Radio,https://www.youtube.com/watch?v=HQtFR3mhzOY
Unbelievable Beauty,https://www.youtube.com/watch?v=rw7bxTqkYYs
Relaxing Jazz Piano,https://www.youtube.com/watch?v=Dx5qFachd3A
輕鬆音樂,https://www.youtube.com/watch?v=RG6HmfEnXyM
One World Radio,https://www.youtube.com/watch?v=wBgSH-CGPzg
8FM,https://www.youtube.com/watch?v=o1ipHJUfFTM
Lofi Hip Hop,https://www.youtube.com/watch?v=jfKfPfyJRdk
華語經典,https://www.youtube.com/watch?v=ZxluW--lZpk
自然の音,https://www.youtube.com/watch?v=6IRjWIqHwAQ
4K Nature,https://www.youtube.com/watch?v=rw7bxTqkYYs
Coffee Jazz,https://www.youtube.com/watch?v=fEvM-OUbaKs
Space Ambient,https://www.youtube.com/watch?v=tNkZsRW7h2c
Rolling Cam Venice,https://www.youtube.com/watch?v=ph1vpnYIxJk
大愛一臺,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛二臺,https://www.youtube.com/watch?v=DTNkEm6jaqQ
Baroque Live Music,https://www.youtube.com/watch?v=2gO1v2GPMFk
Good Life Radio,https://www.youtube.com/watch?v=36YnV9STBqc
Rainy Jazz,https://www.youtube.com/watch?v=DSGyEsJ17cI
Sleeping Music,https://www.youtube.com/watch?v=OuxruRBfVjo
Relaxing Piano Collection,https://www.youtube.com/watch?v=jIp4J62aRvY
華藏電視,https://www.youtube.com/watch?v=ypmrwYeLAaQ
音樂電台,https://www.youtube.com/watch?v=IfNMuFqKBWs
Global Prayer,https://www.youtube.com/watch?v=Fgm9UAzdzQY
正德電視,https://www.youtube.com/watch?v=CHDb5D0DCkw
SupremeMasterTV,https://www.youtube.com/watch?v=ZzWBpGwKoaI
鳥鳴音樂,https://www.youtube.com/watch?v=TAhHaHsDTkk
CCTV4,https://www.youtube.com/watch?v=9sE12tg3CmA
JapaNews24,https://www.youtube.com/watch?v=coYw-eVU0Ks
KANSAI News24,https://www.youtube.com/watch?v=iNPUWKft7hA
メ～テレNEWS,https://www.youtube.com/watch?v=-C6FE2m7kX8
広島ニュース,https://www.youtube.com/watch?v=e2pgLUmaxGs
TBS NEWS,https://www.youtube.com/watch?v=ohI356mwBp8
HTB北海道,https://www.youtube.com/watch?v=xWPD8KDHUH8
YTN2,https://www.youtube.com/watch?v=hxBTqmTT5gE
YTN,https://www.youtube.com/watch?v=FJfwehhzIhw
THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
한국경제,https://www.youtube.com/watch?v=NJUjU9ALj4A
매일경제TV,https://www.youtube.com/watch?v=s9xL1DpBsfQ
YTN dmb,https://www.youtube.com/watch?v=2C2WCLhDsR4
YTN 사이언스,https://www.youtube.com/watch?v=xfFa_kcPnCY
Arirang TV,https://www.youtube.com/watch?v=CJVBX7KI5nU
MTN,https://www.youtube.com/watch?v=CbjcNK6ae-s
토마토TV,https://www.youtube.com/watch?v=8rz4mn87lck
이데일리TV,https://www.youtube.com/watch?v=qVPkBc8cXy4
ABC News,https://www.youtube.com/watch?v=OOtxXPaQvoM
FOX Weather,https://www.youtube.com/watch?v=iesPl7zRbVY
GB News,https://www.youtube.com/watch?v=8WX6YL9JnLw
Euronews français,https://www.youtube.com/watch?v=NiRIbKwAejk
CNA 24,https://www.youtube.com/watch?v=XWq5kBlakcQ
Astro AWANI,https://www.youtube.com/watch?v=txxOwpdp58Q
DZRH TV,https://www.youtube.com/watch?v=rlOW_ZFwK68
UNTV,https://www.youtube.com/watch?v=nnDNIVquXyk
tvOne,https://www.youtube.com/watch?v=yNKvkPJl-tg
WION,https://www.youtube.com/watch?v=lmZRiDMK3OU
ABP Majha,https://www.youtube.com/watch?v=oIOnCCljFdw
IndiaTV,https://www.youtube.com/watch?v=Xmm3Kr5P1Uw
TV9 Marathi,https://www.youtube.com/watch?v=04y0H01GTg0
DJ,https://www.youtube.com/watch?v=kIIVxcRFwwU
MUSIC,https://www.youtube.com/watch?v=RtBNiT4G0Bs
Dance With DJ1,https://www.youtube.com/watch?v=o2h5KRVt4lQ
Dance With DJ2,https://www.youtube.com/watch?v=q_F4eCA9v2M
Tomorrowland 2023,https://www.youtube.com/watch?v=sjrcO6FWzdE
MARTIN 2022,https://www.youtube.com/watch?v=7xpja4fejbk
MARTIN 2013,https://www.youtube.com/watch?v=raOVXUB13vw
MARTIN 2017,https://www.youtube.com/watch?v=g_s17HMFaug



明星专辑,#genre#

张学友专辑1,https://www.youtube.com/watch?v=wqV6l_6SyF0
张学友专辑2,https://www.youtube.com/watch?v=-avAw7V5KRM
邓紫棋专辑1,https://www.youtube.com/watch?v=RWC4EgG5rII
BEYOND专辑,https://www.youtube.com/watch?v=tbPYyZ6hna4
刘德华专辑,https://www.youtube.com/watch?v=nzmh-YFoVSY
一人成名曲,https://www.youtube.com/watch?v=kSNa8oqIYO4
爱财爱己,https://www.youtube.com/watch?v=fa62H2YjLDo
偷心,https://www.youtube.com/watch?v=QkS00MCScDs
灰色轨迹,https://www.youtube.com/watch?v=LDkqFftOXLQ
邓紫棋 真的爱你,https://www.youtube.com/watch?v=4OqXWzekVw4
邓紫棋 再見 GOODBYE,https://www.youtube.com/watch?v=Lhel0tzHE08
Linkin Park1,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Linkin Park2,https://www.youtube.com/watch?v=kXYiU_JCYtU
孤勇者,https://www.youtube.com/watch?v=Hlp8XD0R5qo
我们不一样,https://www.youtube.com/watch?v=Fp-8YM36CVA
我的好兄弟,https://www.youtube.com/watch?v=39G3VIH8gMM
神话,https://www.youtube.com/watch?v=ypPrhebv3ho
Titanic,https://www.youtube.com/watch?v=F2RnxZnubCM
Luis Fonsi,https://www.youtube.com/watch?v=kJQP7kiw5Fk
Shape of You，https://www.youtube.com/watch?v=JGwWNGJdvx8
浪子回头,https://www.youtube.com/watch?v=XgSYzaR-tzU
S.H.E.中国话,https://www.youtube.com/watch?v=jGauF0PuDFE
黄明志，海南话,https://www.youtube.com/watch?v=7u8TJ6QaAmI
丁噹 手掌心,https://www.youtube.com/watch?v=7wvNwOPprBE
周興哲 你，好不好？,https://www.youtube.com/watch?v=wSBXfzgqHtE
說散就散,https://www.youtube.com/watch?v=zOEISgh7k_g
我的歌声里,https://www.youtube.com/watch?v=w0dMz8RBG7g
It's not goodbye,https://www.youtube.com/watch?v=jmd27c4Rma8
珍珠港 歌曲,https://www.youtube.com/watch?v=ytT_z8vhg3I
苦什么,https://www.youtube.com/watch?v=vBWKh1hvylw
